Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24.0,2000,6,3,331,3.7,0,0,0,0,0,0,1,0,0.7,0.7,0.7,1.3,5,10,17,0.00,0.36,1,us USA,FW,eng Premier League,24-342,2000,3.7,0,7,2,28.6,1.90,0.54,0.00,0.00,14.9,0,0,0,0.7,0.7,0.09,-0.7,-0.7,1,us USA,FW,eng Premier League,24-342,2000,3.7,71,90,78.9,930,223,0,0.7,0.8,-0.7,4,6,3,0,10,1,us USA,FW,eng Premier League,24-342,2000,3.7,90,81,7,2,1,0,4,4,0,0,0,0,71,2,2,1,us USA,FW,eng Premier League,24-342,2000,3.7,10,2.72,7,0,0,2,0,1,2,0.54,1,us USA,FW,eng Premier League,24-342,2000,3.7,12,8,6,4,2,17,52.9,8,7,0,7,2,14,8,0,1,us USA,FW,eng Premier League,24-342,2000,3.7,157,4,35,55,68,10,157,8,4,50.0,4,50.0,78,464,200,5,5,0,13,8,85,17,1,us USA,FW,eng Premier League,24-342,2000,6,331,55,61.3,3.7,3,85,3,3,26,0,1.33,6,3,+3,+0.82,+3.40,4.2,4.3,-0.1,-0.01,1,us USA,FW,eng Premier League,24-342,2000,3.7,1,0,0,3,10,0,4,2,8,0,0,0,16,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19.0,2006,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,0,15,0.00,0.14,2,ma MAR,"MF,DF",es La Liga,19-260,2006,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,ma MAR,"MF,DF",es La Liga,19-260,2006,0.4,21,26,80.8,320,36,0,0.1,0.1,-0.1,2,0,1,1,0,2,ma MAR,"MF,DF",es La Liga,19-260,2006,0.4,26,22,4,0,0,0,5,4,0,0,0,0,21,0,3,2,ma MAR,"MF,DF",es La Liga,19-260,2006,0.4,4,10.59,4,0,0,0,0,0,0,0.00,2,ma MAR,"MF,DF",es La Liga,19-260,2006,0.4,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,2,ma MAR,"MF,DF",es La Liga,19-260,2006,0.4,30,0,1,9,20,0,30,2,0,0.0,1,50.0,19,158,94,5,0,0,1,1,22,15,4,ma MAR,"MF,DF",es La Liga,19-260,2006,1,33,33,5.2,0.4,0,,0,1,33,6,0.00,0,1,-1,-2.73,-2.43,0.3,1.0,-0.7,-1.84,2,ma MAR,"MF,DF",es La Liga,19-260,2006,0.4,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25.0,1999,3,1,118,1.3,1,0,1,0,1,1,0,0,0.8,0.0,0.2,0.2,8,15,6,0.00,0.76,3,dz ALG,MF,fr Ligue 1,25-316,1999,1.3,1,1,0,0.0,0.76,0.00,0.00,,30.5,0,1,1,0.8,0.0,0.05,+0.2,0.0,3,dz ALG,MF,fr Ligue 1,25-316,1999,1.3,57,76,75.0,1116,470,0,0.2,0.3,-0.2,2,13,3,0,15,3,dz ALG,MF,fr Ligue 1,25-316,1999,1.3,76,69,7,1,1,0,7,1,5,4,1,0,57,0,0,3,dz ALG,MF,fr Ligue 1,25-316,1999,1.3,6,4.54,4,2,0,0,0,0,1,0.76,3,dz ALG,MF,fr Ligue 1,25-316,1999,1.3,1,1,1,0,0,1,100.0,0,2,0,2,2,3,3,0,3,dz ALG,MF,fr Ligue 1,25-316,1999,1.3,91,4,14,52,27,3,90,6,2,33.3,4,66.7,52,315,191,8,6,0,1,2,63,6,5,dz ALG,MF,fr Ligue 1,25-316,1999,3,118,39,21.9,1.3,1,70,1,2,24,0,0.33,1,3,-2,-1.53,-1.31,3.0,2.8,+0.2,+0.13,3,dz ALG,MF,fr Ligue 1,25-316,1999,1.3,0,0,0,1,0,0,7,2,1,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ali Abdi,tn TUN,DF,Nice,fr Ligue 1,31.0,1993,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,4,tn TUN,DF,fr Ligue 1,31-283,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,4,tn TUN,DF,fr Ligue 1,31-283,1993,0.5,13,17,76.5,224,75,0,0.0,0.0,0.0,0,1,0,0,0,4,tn TUN,DF,fr Ligue 1,31-283,1993,0.5,17,11,6,1,0,0,0,5,0,0,0,0,13,0,0,4,tn TUN,DF,fr Ligue 1,31-283,1993,0.5,1,2.00,1,0,0,0,0,0,0,0.00,4,tn TUN,DF,fr Ligue 1,31-283,1993,0.5,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4,tn TUN,DF,fr Ligue 1,31-283,1993,0.5,21,0,3,9,9,0,21,1,0,0.0,1,100.0,6,63,23,1,0,0,1,0,11,3,6,tn TUN,DF,fr Ligue 1,31-283,1993,1,45,45,8.3,0.5,1,45,1,0,,0,1.00,1,0,+1,+2.00,+2.73,0.7,0.2,+0.5,+0.96,4,tn TUN,DF,fr Ligue 1,31-283,1993,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,4,3,182,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,5,gh GHA,MF,fr Ligue 1,25-187,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,gh GHA,MF,fr Ligue 1,25-187,2000,2.0,95,101,94.1,1330,257,0,0.0,0.0,0.0,0,7,0,0,2,5,gh GHA,MF,fr Ligue 1,25-187,2000,2.0,101,99,2,2,0,0,0,0,0,0,0,0,95,0,1,5,gh GHA,MF,fr Ligue 1,25-187,2000,2.0,2,0.99,2,0,0,0,0,0,0,0.00,5,gh GHA,MF,fr Ligue 1,25-187,2000,2.0,2,0,2,0,0,2,50.0,1,1,0,1,3,5,0,0,5,gh GHA,MF,fr Ligue 1,25-187,2000,2.0,113,3,21,80,12,2,113,0,0,,0,,76,394,174,2,2,1,3,2,87,0,7,gh GHA,MF,fr Ligue 1,25-187,2000,4,182,46,33.7,2.0,3,56,3,1,14,2,1.00,4,3,+1,+0.49,+1.50,2.1,2.6,-0.5,-0.24,5,gh GHA,MF,fr Ligue 1,25-187,2000,2.0,1,0,0,5,1,0,0,3,0,0,0,0,6,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26.0,1999,5,0,76,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,7,10,1.18,0.57,6,sa KSA,DF,fr Ligue 1,26-073,1999,0.8,0,1,0,0.0,1.18,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0,6,sa KSA,DF,fr Ligue 1,26-073,1999,0.8,48,59,81.4,674,290,1,0.5,0.8,+0.5,2,1,2,0,7,6,sa KSA,DF,fr Ligue 1,26-073,1999,0.8,59,51,8,0,0,0,5,8,0,0,0,0,48,0,2,6,sa KSA,DF,fr Ligue 1,26-073,1999,0.8,4,4.50,4,0,0,0,0,0,1,1.13,6,sa KSA,DF,fr Ligue 1,26-073,1999,0.8,5,2,4,0,1,6,66.7,2,2,0,2,0,5,2,0,6,sa KSA,DF,fr Ligue 1,26-073,1999,0.8,73,2,20,17,36,4,73,3,1,33.3,1,33.3,36,147,74,1,0,0,2,0,42,10,8,sa KSA,DF,fr Ligue 1,26-073,1999,5,76,15,14.1,0.8,0,,0,5,15,1,1.40,2,0,+2,+2.37,+2.17,2.1,1.1,+1.0,+1.11,6,sa KSA,DF,fr Ligue 1,26-073,1999,0.8,0,0,0,0,1,0,5,0,2,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993,6,6,540,6.0,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,6,35,8,0.00,0.09,7,fr FRA,MF,fr Ligue 1,32-240,1993,6.0,0,6,1,16.7,1.00,0.17,0.00,0.00,24.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,7,fr FRA,MF,fr Ligue 1,32-240,1993,6.0,353,400,88.3,6790,2001,0,0.4,0.3,-0.4,4,46,4,1,35,7,fr FRA,MF,fr Ligue 1,32-240,1993,6.0,400,380,19,19,1,2,2,0,0,0,0,0,353,1,5,7,fr FRA,MF,fr Ligue 1,32-240,1993,6.0,10,1.67,8,1,0,1,0,0,0,0.00,7,fr FRA,MF,fr Ligue 1,32-240,1993,6.0,11,7,6,2,3,10,50.0,5,3,0,3,3,14,14,1,7,fr FRA,MF,fr Ligue 1,32-240,1993,6.0,446,18,119,272,58,2,446,7,2,28.6,5,71.4,282,977,546,6,4,0,4,4,340,8,9,fr FRA,MF,fr Ligue 1,32-240,1993,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,9,14,-5,-0.83,,8.6,10.3,-1.8,-0.29,7,fr FRA,MF,fr Ligue 1,32-240,1993,6.0,3,0,0,10,6,0,2,3,7,0,1,0,27,4,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22.0,2003,6,3,352,3.9,0,1,1,0,0,1,0,0,1.4,0.6,0.4,1.0,12,9,20,0.26,0.45,8,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,3.9,0,10,1,10.0,2.56,0.26,0.00,0.00,17.1,0,0,1,1.4,0.6,0.06,-1.4,-0.6,8,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,3.9,43,66,65.2,627,178,1,0.4,0.9,+0.6,6,5,4,1,9,8,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,3.9,66,64,2,0,0,0,5,0,0,0,0,0,43,0,6,8,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,3.9,15,3.81,11,0,0,3,1,0,1,0.25,8,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,3.9,3,1,0,2,1,1,100.0,0,2,0,2,1,4,1,0,8,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,3.9,109,2,13,42,58,24,108,19,11,57.9,7,36.8,64,598,387,12,5,7,8,8,78,20,10,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,6,352,59,65.2,3.9,3,90,3,3,28,0,0.83,4,7,-3,-0.77,-1.25,3.8,7.4,-3.6,-0.91,8,fr FRA,"MF,FW",fr Ligue 1,22-185,2003,3.9,0,0,0,8,7,0,5,1,1,0,0,0,10,5,4,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25.0,2000,4,4,325,3.6,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,6,15,13,0.00,0.20,9,br BRA,DF,fr Ligue 1,25-125,2000,3.6,0,3,1,33.3,0.83,0.28,0.00,0.00,8.4,0,0,0,0.5,0.5,0.17,-0.5,-0.5,9,br BRA,DF,fr Ligue 1,25-125,2000,3.6,129,154,83.8,2028,833,0,0.2,0.2,-0.2,2,15,5,1,15,9,br BRA,DF,fr Ligue 1,25-125,2000,3.6,154,129,24,3,1,1,5,20,1,0,0,0,129,1,2,9,br BRA,DF,fr Ligue 1,25-125,2000,3.6,6,1.67,4,0,1,1,0,0,1,0.28,9,br BRA,DF,fr Ligue 1,25-125,2000,3.6,7,5,4,3,0,6,66.7,2,2,1,1,2,9,12,0,9,br BRA,DF,fr Ligue 1,25-125,2000,3.6,189,13,67,79,44,10,189,3,1,33.3,2,66.7,100,416,264,6,1,1,1,2,121,13,11,br BRA,DF,fr Ligue 1,25-125,2000,4,325,81,60.2,3.6,4,81,4,0,,0,2.25,4,3,+1,+0.28,-1.40,6.2,4.6,+1.7,+0.46,9,br BRA,DF,fr Ligue 1,25-125,2000,3.6,2,0,0,6,1,0,5,2,5,0,0,0,8,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25.0,2000,4,1,112,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,2,1,0.00,0.13,10,ma MAR,"FW,MF",it Serie A,25-223,2000,1.2,0,2,2,100.0,1.61,1.61,0.00,0.00,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,10,ma MAR,"FW,MF",it Serie A,25-223,2000,1.2,13,20,65.0,186,69,0,0.0,0.0,0.0,0,1,0,0,2,10,ma MAR,"FW,MF",it Serie A,25-223,2000,1.2,20,19,1,0,0,0,1,1,0,0,0,0,13,0,0,10,ma MAR,"FW,MF",it Serie A,25-223,2000,1.2,2,1.57,1,1,0,0,0,0,0,0.00,10,ma MAR,"FW,MF",it Serie A,25-223,2000,1.2,6,4,2,2,2,6,83.3,1,2,0,2,0,6,0,0,10,ma MAR,"FW,MF",it Serie A,25-223,2000,1.2,39,0,5,20,18,5,39,7,2,28.6,4,57.1,26,244,178,6,3,2,3,1,27,1,12,ma MAR,"FW,MF",it Serie A,25-223,2000,4,112,28,31.1,1.2,1,45,1,3,22,0,1.00,0,5,-5,-4.02,-3.29,0.5,2.6,-2.1,-1.61,10,ma MAR,"FW,MF",it Serie A,25-223,2000,1.2,1,0,0,3,4,2,1,0,4,0,0,0,6,1,4,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
